iter	Passed	Remaining
0	0	97
1	1	93
2	2	91
3	3	84
4	4	86
5	5	87
6	6	88
7	7	89
8	8	86
9	9	87
10	11	89
11	11	87
12	12	86
13	14	86
14	14	84
15	15	83
16	16	81
17	17	79
18	18	78
19	19	77
20	20	76
21	21	74
22	21	73
23	22	72
24	23	71
25	24	70
26	25	69
27	26	68
28	27	66
29	28	65
30	29	64
31	29	63
32	31	62
33	31	62
34	32	60
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	54
41	38	53
42	39	52
43	40	51
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	54	39
58	55	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	28
70	66	27
71	67	26
72	68	25
73	68	24
74	69	23
75	70	22
76	71	21
77	71	20
78	72	19
79	73	18
80	73	17
81	74	16
82	75	15
83	76	14
84	76	13
85	77	12
86	78	11
87	79	10
88	79	9
89	80	8
90	81	8
91	82	7
92	82	6
93	83	5
94	84	4
95	85	3
96	85	2
97	86	1
98	87	0
99	87	0
